czas;zajete;wszystkie;procent
2026-07-18 12:39;9888;13437;73.59
2026-07-18 13:33;9928;13437;73.89
2026-07-18 14:34;10017;13437;74.55
2026-07-18 16:05;10075;13437;74.98
2026-07-18 17:10;10110;13437;75.24
2026-07-18 18:08;10149;13437;75.53
2026-07-18 19:10;10152;13437;75.55
2026-07-18 20:04;10163;13437;75.63
2026-07-18 21:20;10188;13437;75.82
2026-07-18 22:10;10213;13437;76.01
2026-07-18 23:02;10225;13437;76.1
2026-07-19 00:03;10236;13437;76.18
2026-07-19 01:06;10229;13437;76.13
2026-07-19 02:05;10225;13437;76.1
2026-07-19 05:48;10225;13437;76.1
2026-07-19 08:20;10239;13437;76.2
2026-07-19 10:39;10312;13437;76.74
2026-07-19 12:12;10367;13437;77.15
2026-07-19 13:22;10434;13437;77.65
2026-07-19 14:10;10477;13437;77.97
2026-07-19 15:48;10527;13437;78.34
